32.3万,486.5万,命运之夜——天之杯II ：迷失之蝶,1447.7万,"剧情,奇幻,动画"
146.5万,477.4万,魔法禁书目录 第三季,8875.7万,"小说改,热血,科幻,奇幻"
129.3万,394.3万,路人超能100(灵能百分百),8752.6万,"热血,奇幻,战斗"
133.6万,288.6万,宝石之国,5951.3万,"战斗,架空,励志,催泪"
187.9万,285.9万,天使降临到我身边,5769.9万,"日常,治愈,漫画改,萌系"
95.7万,284.8万,动物狂想曲 / BEASTARS,6240.9万,"漫画改,奇幻,恋爱,校园"
73.1万,282.1万,约定的梦幻岛,5255.2万,"热血,智斗,励志,漫画改"
311.4万,289.7万,月色真美,5353.2万,"恋爱,校园,原创,治愈"
297万,296.8万,罪恶王冠,5087.4万,"奇幻,战斗,热血,原创"
58.8万,289.3万,月刊少女野崎君,2558.7万,"搞笑,校园,少女,漫画改"
31.9万,386.9万,游戏人生 零,1277.6万,"爱情,奇幻,动画"
108万,308万,卫宫家今天的饭,6615.2万,"日常,美食"
135.6万,330.3万,境界的彼方,3213万,"恋爱,奇幻,战斗"
359.3万,477.4万,魔法禁书目录 第一季,6158.8万,"科幻,校园,战斗,热血"
236.1万,317.3万,樱花庄的宠物女孩,3145.5万,"校园,催泪,恋爱,小说改"
23.4万,395.4万,中二病也要谈恋爱！,953.5万,"恋爱,校园,小说改,搞笑"
3万,394.3万,路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,316.2万,"热血,奇幻,战斗,漫画改"
158.2万,315万,地缚少年花子君,6133.8万,"漫画改,搞笑,少女,奇幻"
345.2万,335.4万,Fate/Zero 第一季,7936.3万,"时泪,奇幻,战斗,热血"
248万,323.7万,Re：创造主,8425.6万,"科幻,奇幻,原创,穿越"
207.2万,325.7万,笨女孩,1亿,"搞笑,校园,漫画改"
238.7万,313.6万,终结的炽天使,9160.6万,"奇幻,战斗"
73.5万,268.7万,天气之子,2050.8万,"爱情,奇幻,动画"
143.1万,506.1万,夏目友人帐,3163万,"奇幻,日常,治愈,催泪"
67.7万,282万,CLANNAD,2126.2万,"时泪,校园,治愈,催泪"
111.8万,260万,某科学的一方通行,6016.9万,"漫画改,科幻,战斗,魔法"
358.8万,695.1万,刀剑神域,7349.2万,"小说改,热血,奇幻,战斗"
108.7万,260.7万,阿宅的恋爱真难,5786万,"搞笑,恋爱,日常,漫画改"
91.6万,256.9万,超能力女儿,7547.4万,"搞笑,日常,漫画改"
134万,269.2万,如果能写小说就好了,5363万,"小说改,恋爱"
80.8万,267.1万,碧蓝之海,7829.3万,"搞笑,校园,社团,运动"
204.3万,267万,甲铁城的卡巴内瑞,8094.4万,"热血,奇幻,战斗,原创"
147.9万,267.6万,转生成为了只有乙女游戏破灭Flag的邪恶大小姐,7168.8万,"穿越,搞笑,恋爱,乙女"
116.7万,269.8万,Ｄｒ．ＳＴＯＮＥ 石纪元,1.1亿,"漫画改,科幻,励志,冒险"
85.7万,271万,Fate/EXTRA Last Encore,4255.4万,"奇幻,战斗,游戏改"
166.2万,271.3万,公主连结Re:Dive,7296.5万,"奇幻,战斗,魔法,冒险"
154.2万,277.1万,平凡职业造就世界最强,1亿,"小说改,奇幻,战斗,冒险"
248万,270.3万,可塑性记忆,5646.6万,"科幻,日常,催泪"
323.6万,554.4万,我的青春恋爱物语果然有问题。续,1.1亿,"日常,校园,智斗,恋爱"
182.2万,270.7万,珈百璃的堕落,6830.8万,"日常,漫画改,神魔"
206.1万,353.7万,魔卡少女樱 CLEAR CARD篇,5448.8万,"少女,魔法,漫画改"
3.5万,238.7万,在地下城寻求邂逅是否搞错了什么 第三季,415万,"小说改,战斗,奇幻,冒险"
35.5万,223.6万,总之就是非常可爱,1287.7万,"日常,恋爱,漫画改"
141.1万,430.5万,约会大作战 第三季,5283万,"小说改,萌系,奇幻,战斗"
154.3万,225.7万,擅长捉弄的高木同学 第二季,4785.7万,"漫画改,校园,恋爱,日常"
80.6万,268.8万,炎炎消防队,7696.6万,"漫画改,战斗,热血"
2.7万,231.1万,请问您今天要来点兔子吗？BLOOM,176.4万,"漫画改,日常,萌系,治愈"
99.6万,230.3万,女高中生的虚度日常,5188.7万,"日常,漫画改,校园,搞笑"
64万,232万,秒速五厘米,1802万,"催泪,日常"
188.6万,430.5万,约会大作战,3658.3万,战斗
39.1万,234.9万,日常,1847.7万,"萌系,搞笑,日常,漫画改"
405万,289.9万,名侦探柯南,1.3亿,"漫画改,推理,智斗"
150.1万,506.1万,夏目友人帐 伍,4584.4万,"治愈,催泪,神魔,漫画改"
158.6万,237.3万,男子高中生的日常,3924.2万,"搞笑,校园,日常,漫画改"
389.1万,347.8万,食戟之灵,1.6亿,"美食,热血"
74.7万,238.1万,文豪野犬?第三季,4787.8万,"漫画改,战斗,奇幻"
180.6万,239.7万,线上游戏的队友不可能是女生？,6763万,"奇幻,校园"
262.3万,486.5万,Fate/stay night [Unlimited Blade Works] 第二季,1.2亿,"奇幻,热血"
88.4万,394.3万,路人超能100 II(灵能百分百 第二季),8335.8万,"热血,奇幻,战斗,漫画改"
23.8万,268.8万,炎炎消防队 贰之章,2759.5万,"漫画改,热血,战斗,声控"
134万,364.2万,野良神,3691.5万,"奇幻,战斗,漫画改,神魔"
140.2万,418.5万,齐木楠雄的灾难,1.1亿,"校园,搞笑,日常,漫画改"
1.4万,238.7万,在地下城寻求邂逅是否搞错了什么,114.2万,"小说改,奇幻,战斗,架空"
91.5万,215.5万,宇崎学妹想要玩！,5291.4万,"漫画改,搞笑,校园"
182万,347.8万,食戟之灵 贰之皿,8527.6万,"热血,美食"
91.7万,215.8万,贤者之孙,6728.1万,"小说改,奇幻,架空,穿越"
26万,234万,诸神的逆鳞,4368.8万,"漫画改,热血,战斗,奇幻"
211.2万,364.2万,野良神 ARAGOTO,1亿,"奇幻,战斗,漫画改,神魔"
123.4万,223.5万,钢之炼金术师 FULLMETAL ALCHEMIST,5085.2万,"时泪,奇幻,战斗,热血"
119.9万,418.5万,齐木楠雄的灾难 第二季,8804.3万,"搞笑,校园,漫画改"
55.4万,218.4万,君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,4360.9万,"小说改,奇幻,魔法,冒险"
296.1万,219.2万,我女友与青梅竹马的惨烈修罗场,4179.8万,"校园,恋爱"
325.6万,480.8万,JOJO的奇妙冒险 不灭钻石,9073.7万,"热血,奇幻,漫画改,战斗"
101.6万,219.6万,入间同学入魔了,9600.6万,"漫画改,校园,搞笑,奇幻"
359.1万,652.5万,某科学的超电磁炮S,5600.7万,"校园,战斗,奇幻"
71.8万,221.6万,理科生坠入情网，故尝试证明。,3625.8万,"漫画改,日常,搞笑,校园"
74.3万,435.6万,Fate/Grand Order ‐First Order‐,2708.6万,"战斗,游戏改"
240万,220.7万,落第骑士英雄谭,8881.9万,"校园,战斗,架空,冒险"
227.4万,222.9万,龙与虎,3296.1万,"少女,校园,治愈,催泪"
102.1万,222.7万,CAROLE & TUESDAY,6149.1万,"原创,科幻,音乐,励志"
61万,245万,元气少女缘结神◎,2520.9万,"奇幻,少女,神魔"
34.9万,190.1万,Angel Beats!,1091.6万,"奇幻,校园,战斗,催泪"
60万,194.1万,甘城光辉游乐园,1981.2万,"日常,奇幻,励志,职场"
6万,238.7万,剑姬神圣谭  在地下城寻求邂逅是否搞错了什么 外传 ,410.4万,"小说改,奇幻,架空,神魔"
187.7万,188万,黑色四叶草,1.5亿,"战斗,热血,魔法,漫画改"
60.7万,238.7万,在地下城寻求邂逅是否搞错了什么 第二季,4085.4万,"小说改,奇幻,战斗,冒险"
121.3万,506.1万,夏目友人帐 陆,3879.3万,"催泪,奇幻,日常,治愈"
52.4万,234万,戒律的复活,7671.1万,"热血,战斗,漫画改,架空"
78.3万,247.6万,玉子市场,2034万,"萌系,少女,治愈,日常"
72.4万,199.4万,此花亭奇谭,2743.3万,"萌系,漫画改,日常,治愈"
396.6万,201.4万,博人传 火影忍者新时代,2亿,"热血,架空,冒险"
66.7万,202.1万,言叶之庭,1694万,"日常,少女,治愈"
65.1万,197.6万,小木乃伊到我家,4080.3万,"漫画改,萌系,搞笑,日常"
104万,198.7万,打工吧！魔王大人,7800.4万,"日常,小说改,神魔,职场"
97.5万,199.3万,从零开始的魔法书,4193万,"小说改,奇幻,魔法,架空"
96万,204.2万,少女终末旅行,3049.4万,"奇幻,漫画改,冒险,架空"
125.6万,200.6万,喜欢本大爷的竟然就你一个？,5525万,"小说改,校园,恋爱"
96.4万,205.2万,星掠者,8754.8万,"漫画改,奇幻,搞笑,战斗"
262.2万,224.6万,我的妹妹不可能那么可爱 第一季,3313.6万,"萌系,校园,日常,恋爱"
19.8万,395.4万,中二病也要谈恋爱！恋,596.8万,"搞笑,恋爱"
82.7万,209.3万,会长是女仆大人！,2967.9万,"日常,少女,校园,恋爱"
50.2万,197.1万,我们无法一起学习！,3270.8万,"漫画改,日常,校园,恋爱"
124.9万,171.7万,我的脑内选项正在全力妨碍学园恋爱喜剧,5030.6万,"搞笑,校园,恋爱"
1.2万,173.3万,One Room 第三季,161.2万,"日常,恋爱,治愈"
88万,197.1万,我们无法一起学习,4595.7万,"漫画改,日常,校园,恋爱"
89万,169.8万,重来吧，魔王大人！,5046.7万,"小说改,奇幻,魔法,穿越"
79.5万,185.7万,伪恋,1362.5万,"漫画改,搞笑,日常,校园"
201.9万,313.6万,终结的炽天使 名古屋决战篇,6871.9万,"奇幻,校园,战斗"
124.2万,215.1万,学战都市Asterisk,7813.3万,"校园,奇幻,战斗,架空"
101.6万,178.1万,骑士&魔法,6620.1万,"小说改,机战,奇幻,魔法"
107万,180.6万,属性咖啡厅,3521万,"萌系,少女,日常,漫画改"
97.4万,179.4万,异世界食堂,4240.1万,"小说改,奇幻,美食,架空"
79.8万,260.3万,幻界战线,5175.2万,"科幻,热血,战斗"
176.4万,268.7万,你的名字。,3644.6万,"爱情,剧情,动画"
