barrage,follow,name,play,tags
2361000,3173000,樱花庄的宠物女孩,31455000,"校园,催泪,恋爱,小说改"
30000,3943000,路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,3162000,"热血,奇幻,战斗,漫画改"
3452000,3354000,Fate/Zero 第一季,79363000,"时泪,奇幻,战斗,热血"
2480000,3237000,Re：创造主,84256000,"科幻,奇幻,原创,穿越"
2072000,3257000,笨女孩,100000000,"搞笑,校园,漫画改"
677000,2820000,CLANNAD,21262000,"时泪,校园,治愈,催泪"
1087000,2607000,阿宅的恋爱真难,57860000,"搞笑,恋爱,日常,漫画改"
1431000,5061000,夏目友人帐,31630000,"奇幻,日常,治愈,催泪"
1118000,2600000,某科学的一方通行,60169000,"漫画改,科幻,战斗,魔法"
735000,2687000,天气之子,20508000,"爱情,奇幻,动画"
2387000,3136000,终结的炽天使,91606000,"奇幻,战斗"
916000,2569000,超能力女儿,75474000,"搞笑,日常,漫画改"
3588000,6951000,刀剑神域,73492000,"小说改,热血,奇幻,战斗"
1340000,2692000,如果能写小说就好了,53630000,"小说改,恋爱"
2043000,2670000,甲铁城的卡巴内瑞,80944000,"热血,奇幻,战斗,原创"
808000,2671000,碧蓝之海,78293000,"搞笑,校园,社团,运动"
1479000,2676000,转生成为了只有乙女游戏破灭Flag的邪恶大小姐,71688000,"穿越,搞笑,恋爱,乙女"
2480000,2703000,可塑性记忆,56466000,"科幻,日常,催泪"
1822000,2707000,珈百璃的堕落,68308000,"日常,漫画改,神魔"
1167000,2698000,Ｄｒ．ＳＴＯＮＥ 石纪元,110000000,"漫画改,科幻,励志,冒险"
857000,2710000,Fate/EXTRA Last Encore,42554000,"奇幻,战斗,游戏改"
1662000,2713000,公主连结Re:Dive,72965000,"奇幻,战斗,魔法,冒险"
3236000,5544000,我的青春恋爱物语果然有问题。续,110000000,"日常,校园,智斗,恋爱"
1542000,2771000,平凡职业造就世界最强,100000000,"小说改,奇幻,战斗,冒险"
2061000,3537000,魔卡少女樱 CLEAR CARD篇,54488000,"少女,魔法,漫画改"
355000,2236000,总之就是非常可爱,12877000,"日常,恋爱,漫画改"
806000,2688000,炎炎消防队,76966000,"漫画改,战斗,热血"
640000,2320000,秒速五厘米,18020000,"催泪,日常"
27000,2311000,请问您今天要来点兔子吗？BLOOM,1764000,"漫画改,日常,萌系,治愈"
1543000,2257000,擅长捉弄的高木同学 第二季,47857000,"漫画改,校园,恋爱,日常"
996000,2303000,女高中生的虚度日常,51887000,"日常,漫画改,校园,搞笑"
35000,2387000,在地下城寻求邂逅是否搞错了什么 第三季,4150000,"小说改,战斗,奇幻,冒险"
1411000,4305000,约会大作战 第三季,52830000,"小说改,萌系,奇幻,战斗"
1886000,4305000,约会大作战,36583000,战斗
1586000,2373000,男子高中生的日常,39242000,"搞笑,校园,日常,漫画改"
391000,2349000,日常,18477000,"萌系,搞笑,日常,漫画改"
747000,2381000,文豪野犬?第三季,47878000,"漫画改,战斗,奇幻"
